player_id,name,dob,birth_place,gp,pts,rbs,ast,fg,fg3,ft,efg,per,ws,venus_cycle,lat,lon,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,nn,sn,asc,mc
whitejo01,Jo Jo White,1946-11-16,"St. Louis, Missouri",837,17.2,4.0,4.9,44.4,16.7,83.4,44.4,14.2,54.0,Red_2,38.635957,-90.239861,SCORPIO,VIRGO,SAGITTARIUS,SCORPIO,SAGITTARIUS,SCORPIO,LEO,GEMINI,LIBRA,LEO,GEMINI,SAGITTARIUS,SCORPIO,LEO
abdulka01,Kareem Abdul-Jabbar,1947-04-16,"New York, New York",1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,White_1,40.68295,-73.9708,ARIES,AQUARIUS,ARIES,PISCES,ARIES,SCORPIO,LEO,GEMINI,LIBRA,LEO,GEMINI,SAGITTARIUS,GEMINI,AQUARIUS
maravpe01,Pete Maravich,1947-06-22,"Aliquippa, Pennsylvania",658,24.2,4.2,5.4,44.1,66.7,82.0,44.1,18.4,46.7,White_1,40.613821,-80.256888,CANCER,LEO,CANCER,GEMINI,TAURUS,SCORPIO,LEO,GEMINI,LIBRA,LEO,GEMINI,SAGITTARIUS,CANCER,ARIES
calvima01,Mack Calvin,1947-07-27,"Fort Worth, Texas",755,16.1,2.5,4.8,44.7,24.5,86.3,45.1,17.4,60.4,Blue_5,32.729442,-97.33181,LEO,SAGITTARIUS,CANCER,CANCER,GEMINI,SCORPIO,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,LEO,ARIES
johnsjo01,John Johnson,1947-10-18,"Carthage, Mississippi",869,12.9,5.5,3.8,44.6,0.0,77.9,44.6,14.1,37.1,Blue_5,32.741471,-89.531658,LIBRA,SAGITTARIUS,SCORPIO,SCORPIO,LEO,SCORPIO,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,LIBRA,CANCER
dandrbo01,Bob Dandridge,1947-11-15,"Richmond, Virginia",839,18.5,6.8,3.4,48.4,16.7,78.0,48.4,16.7,80.3,Blue_5,37.519231,-77.473927,SCORPIO,SAGITTARIUS,SCORPIO,SAGITTARIUS,LEO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,SCORPIO,VIRGO
mixst01.h,Steve Mix,1947-12-30,"Toledo, Ohio",788,10.6,5.3,1.8,49.9,28.6,80.3,49.9,16.2,57.6,Black_4,41.673695,-83.563738,CAPRICORN,LEO,CAPRICORN,AQUARIUS,VIRGO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,SAGITTARIUS,LIBRA
awtrede01,Dennis Awtrey,1948-02-22,"Hollywood, California",733,4.8,4.6,2.0,45.9,0.0,65.2,45.9,10.5,22.4,Black_4,0.0,0.0,PISCES,LEO,AQUARIUS,ARIES,LEO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,PISCES,SAGITTARIUS
carrau01.,Austin Carr,1948-03-10,"Washgton, District of Columbia",682,15.4,2.9,2.8,44.9,15.4,80.4,44.9,15.0,32.9,Black_4,0.0,0.0,PISCES,PISCES,AQUARIUS,TAURUS,LEO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,ARIES,CAPRICORN
laceysa01,Sam Lacey,1948-03-28,"Indianola, Mississippi",1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9,Black_4,33.45095,-90.65509,ARIES,SCORPIO,PISCES,TAURUS,LEO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,ARIES,CAPRICORN
heardga01,Gar Heard,1948-05-03,"Hogansville, Georgia",787,8.7,7.5,1.6,41.4,0.0,65.4,41.4,13.1,27.0,Red_3,33.167109,-84.903383,TAURUS,PISCES,TAURUS,GEMINI,LEO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,GEMINI,AQUARIUS
murphca01,Calvin Murphy,1948-05-09,"Norwalk, Connecticut",1002,17.9,2.1,4.4,48.2,13.9,89.2,48.3,18.0,84.1,Red_3,41.117173,-73.42324,TAURUS,TAURUS,GEMINI,CANCER,LEO,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,GEMINI,PISCES
dietrco01,Coby Dietrick,1948-07-23,"Riverside, California",842,6.1,4.5,2.1,46.2,19.4,73.5,46.3,12.6,27.7,Red_3,40.86374,-123.97061,LEO,AQUARIUS,CANCER,GEMINI,LIBRA,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,CANCER,PISCES
paultbi01,Billy Paultz,1948-07-30,"River Edge, New Jersey",1124,11.7,8.0,2.0,49.7,0.0,69.0,49.7,16.3,70.4,Red_3,40.928132,-74.040201,LEO,TAURUS,CANCER,GEMINI,LIBRA,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,VIRGO,TAURUS
brownfr01,Fred Brown,1948-08-07,"Milwaukee, Wisconsin",963,14.6,2.7,3.3,47.8,37.3,85.8,48.2,17.7,63.2,Red_3,43.063146,-87.948334,LEO,VIRGO,LEO,CANCER,LIBRA,SAGITTARIUS,LEO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,LEO,TAURUS
architi01,Tiny Archibald,1948-09-02,"New York, New York",876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4,Red_3,40.68295,-73.9708,VIRGO,LEO,VIRGO,CANCER,LIBRA,SAGITTARIUS,LEO,CANCER,LIBRA,LEO,TAURUS,SCORPIO,VIRGO,GEMINI
laniebo01,Bob Lanier,1948-09-10,"Buffalo, New York",959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1,White_2,42.890831,-78.852901,VIRGO,SAGITTARIUS,LIBRA,LEO,SCORPIO,SAGITTARIUS,LEO,CANCER,LIBRA,LEO,TAURUS,SCORPIO,LIBRA,CANCER
cowenda01,Dave Cowens,1948-10-25,"Newport, Kentucky",766,17.6,13.6,3.8,46.0,7.1,78.3,46.0,17.0,86.3,White_2,39.084944,-84.487246,SCORPIO,LEO,LIBRA,VIRGO,SAGITTARIUS,SAGITTARIUS,VIRGO,CANCER,LIBRA,LEO,TAURUS,SCORPIO,SCORPIO,LEO
isselda01,Dan Issel,1948-10-25,"Batavia, Illinois",1218,22.6,9.1,2.4,49.9,20.4,79.3,50.0,21.4,157.8,White_2,41.855835,-88.296112,SCORPIO,LEO,LIBRA,VIRGO,SAGITTARIUS,SAGITTARIUS,VIRGO,CANCER,LIBRA,LEO,TAURUS,SCORPIO,LIBRA,LEO
crissch01,Charlie Criss,1948-11-06,"Valhalla, New York",418,8.5,1.4,3.2,43.2,17.9,83.1,43.5,12.8,13.7,White_2,41.078321,-73.775416,SCORPIO,CAPRICORN,LIBRA,LIBRA,SAGITTARIUS,SAGITTARIUS,VIRGO,CANCER,LIBRA,LEO,TAURUS,SCORPIO,SCORPIO,LEO
tomjaru01,Rudy Tomjanovich,1948-11-24,"Hamtramck, Michigan",768,17.4,8.1,2.0,50.1,26.2,78.4,50.2,16.9,70.4,White_2,42.39549,-83.054199,SAGITTARIUS,VIRGO,SCORPIO,LIBRA,SAGITTARIUS,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,SCORPIO,VIRGO
smithra01,Randy Smith,1948-12-12,"Bellport, New York",976,16.7,3.7,4.6,47.0,15.5,78.1,47.0,16.5,60.1,White_2,40.755991,-72.942161,SAGITTARIUS,TAURUS,SAGITTARIUS,SCORPIO,CAPRICORN,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,SAGITTARIUS,LIBRA
scottch01,Charlie Scott,1948-12-15,"New York, New York",717,20.7,4.0,4.9,44.8,25.3,77.3,44.9,15.8,41.4,White_2,40.68295,-73.9708,SAGITTARIUS,GEMINI,SAGITTARIUS,SCORPIO,CAPRICORN,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,SAGITTARIUS,LIBRA
johnsge02,George Johnson,1948-12-18,"Tylertown, Mississippi",904,4.8,6.5,1.0,45.1,50.0,69.4,45.1,12.4,33.0,White_2,31.119009,-90.146091,SAGITTARIUS,CANCER,SAGITTARIUS,SCORPIO,CAPRICORN,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,SAGITTARIUS,VIRGO
newlimi01,Mike Newlin,1949-01-02,"Portland, Oregon",837,14.9,3.0,4.0,46.6,30.2,87.0,46.9,15.5,50.4,White_2,45.533467,-122.650095,CAPRICORN,AQUARIUS,CAPRICORN,SAGITTARIUS,CAPRICORN,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,SCORPIO,VIRGO
fordch01.,Chris Ford,1949-01-11,"Atlantic City, New Jersey",794,9.2,3.0,3.4,46.0,37.5,73.1,46.9,12.2,35.6,White_2,39.377054,-74.451984,CAPRICORN,GEMINI,AQUARIUS,SAGITTARIUS,AQUARIUS,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,CAPRICORN,SCORPIO
raycl01.h,Clifford Ray,1949-01-21,"Union, South Carolina",784,7.4,8.9,2.2,52.4,0.0,58.8,52.4,14.4,56.7,White_2,34.26847,-81.53205,AQUARIUS,SCORPIO,AQUARIUS,CAPRICORN,AQUARIUS,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,TAURUS,SCORPIO,CAPRICORN,SCORPIO
silasja01,James Silas,1949-02-11,"Tallulah, Louisiana",685,16.1,3.0,3.8,49.5,0.0,85.5,49.5,17.0,60.3,Blue_1,32.406,-91.189452,AQUARIUS,CANCER,AQUARIUS,AQUARIUS,AQUARIUS,CAPRICORN,VIRGO,GEMINI,LIBRA,LEO,ARIES,LIBRA,AQUARIUS,SCORPIO
haywosp01,Spencer Haywood,1949-04-22,"Silver City, Mississippi",844,20.3,10.3,1.8,46.9,5.3,79.6,46.9,19.1,78.5,Blue_1,33.096442,-90.496019,TAURUS,AQUARIUS,TAURUS,TAURUS,ARIES,AQUARIUS,LEO,GEMINI,LIBRA,LEO,ARIES,LIBRA,TAURUS,CAPRICORN
steella01,Larry Steele,1949-05-05,"Greencastle, Indiana",610,8.2,2.9,2.8,48.3,0.0,79.6,48.3,12.7,28.2,Blue_1,39.644031,-86.842479,TAURUS,LEO,GEMINI,TAURUS,TAURUS,AQUARIUS,LEO,GEMINI,LIBRA,LEO,ARIES,LIBRA,GEMINI,AQUARIUS
johnsol01,Ollie Johnson,1949-05-11,"Philadelphia, Pennsylvania",690,7.7,3.3,1.8,49.6,15.0,82.7,49.6,12.8,27.0,Blue_1,39.990821,-75.168428,TAURUS,SCORPIO,GEMINI,TAURUS,TAURUS,AQUARIUS,LEO,GEMINI,LIBRA,LEO,ARIES,LIBRA,GEMINI,PISCES
owensto01,Tom Owens,1949-06-28,"Bronx, New York",877,11.3,6.8,1.7,51.3,21.7,74.3,51.4,16.7,61.5,Blue_1,0.0,0.0,CANCER,LEO,GEMINI,CANCER,GEMINI,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LEO,TAURUS
simpsra01,Ralph Simpson,1949-08-10,"Detroit, Michigan",705,16.7,3.7,3.3,44.9,19.0,76.3,45.1,16.2,29.0,Black_5,42.398649,-83.164515,LEO,PISCES,VIRGO,VIRGO,CANCER,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,VIRGO,TAURUS
hillmda01,Darnell Hillman,1949-08-29,"Sacramento, California",682,9.8,7.6,1.4,47.7,16.7,62.8,47.7,13.4,31.1,Black_5,38.57873,-121.466786,VIRGO,SCORPIO,LIBRA,LIBRA,CANCER,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LEO,TAURUS
cleamji01,Jim Cleamons,1949-09-13,"Lcolnton, North Carolina",652,8.3,3.0,3.9,46.0,22.6,76.5,46.1,12.6,29.1,Black_5,0.0,0.0,VIRGO,TAURUS,LIBRA,LIBRA,LEO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LIBRA,CANCER
wickssi01,Sidney Wicks,1949-09-19,"Los Angeles, California",760,16.8,8.7,3.2,45.9,0.0,68.5,45.9,16.2,42.4,Black_5,34.05513,-118.25703,VIRGO,LEO,LIBRA,SCORPIO,LEO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,VIRGO,GEMINI
gilmoar01,Artis Gilmore,1949-09-21,"Chipley, Florida",1329,18.8,12.3,2.3,58.2,15.0,69.8,58.2,21.4,189.7,Black_5,30.77995,-85.541893,VIRGO,VIRGO,LIBRA,SCORPIO,LEO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LIBRA,CANCER
rochejo01,John Roche,1949-09-26,"New York, New York",479,11.2,1.5,3.9,46.9,35.5,79.2,49.0,12.6,19.8,Black_5,40.68295,-73.9708,LIBRA,SCORPIO,LIBRA,SCORPIO,LEO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LIBRA,CANCER
mengejo01,John Mengelt,1949-10-16,"Lacrosse, Wisconsin",636,9.8,1.9,2.1,47.9,0.0,80.9,47.9,14.6,27.9,Black_5,0.0,0.0,LIBRA,LEO,LIBRA,SAGITTARIUS,LEO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,SCORPIO,LEO
bibbyhe01,Henry Bibby,1949-11-24,"Franklton, North Carolina",675,8.6,2.3,3.3,42.4,29.3,78.2,42.8,12.3,24.5,Red_4,0.0,0.0,SAGITTARIUS,CAPRICORN,SAGITTARIUS,CAPRICORN,VIRGO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,SAGITTARIUS,VIRGO
choneji01,Jim Chones,1949-11-30,"Race, Wisconsin",788,12.5,8.2,1.6,47.8,0.0,68.0,47.8,13.9,45.8,Red_4,0.0,0.0,SAGITTARIUS,ARIES,SAGITTARIUS,CAPRICORN,VIRGO,CAPRICORN,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,SAGITTARIUS,LIBRA
robisda01,Dave Robisch,1949-12-22,"Ccnati, Ohio",930,11.4,6.6,1.8,46.4,0.0,79.8,46.4,16.6,64.2,Red_4,0.0,0.0,CAPRICORN,AQUARIUS,CAPRICORN,AQUARIUS,VIRGO,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,CAPRICORN,LIBRA
natersw01,Swen Nater,1950-01-14,"Den Helder, Netherlands",722,12.4,11.6,1.7,53.5,10.0,74.8,53.5,17.6,58.5,Red_4,52.947335,4.7727,CAPRICORN,SAGITTARIUS,AQUARIUS,AQUARIUS,LIBRA,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,TAURUS,CAPRICORN
ervinju01,Julius Erving,1950-02-22,"Roosevelt, New York",1243,24.2,8.5,4.2,50.6,29.8,77.7,50.9,23.6,181.1,Red_4,40.682107,-73.585028,PISCES,TAURUS,AQUARIUS,AQUARIUS,LIBRA,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,PISCES,SAGITTARIUS
brownro02,Roger Brown,1950-02-23,"Chicago, Illinois",239,2.4,3.5,0.5,40.6,100.0,62.4,40.8,8.7,2.3,Red_4,41.87897,-87.66063,PISCES,TAURUS,AQUARIUS,AQUARIUS,LIBRA,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,AQUARIUS,SAGITTARIUS
porteke01,Kevin Porter,1950-04-17,"Chicago, Illinois",659,11.6,1.8,8.1,48.3,18.8,73.7,48.3,15.6,36.0,White_3,41.87897,-87.66063,ARIES,ARIES,TAURUS,PISCES,VIRGO,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,TAURUS,CAPRICORN
hawesst01,Steve Hawes,1950-05-26,"Seattle, Washington",688,8.4,6.2,1.9,48.3,29.8,79.0,48.5,14.3,37.1,White_3,47.673455,-122.331537,GEMINI,VIRGO,TAURUS,ARIES,VIRGO,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,TAURUS,CAPRICORN
gianejo01,John Gianelli,1950-06-10,"Stockton, California",541,7.8,5.9,1.5,47.0,0.0,70.2,47.0,11.7,23.0,White_3,37.945186,-121.284615,GEMINI,ARIES,TAURUS,TAURUS,VIRGO,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,GEMINI,AQUARIUS
galemi01.,Mike Gale,1950-07-18,"Philadelphia, Pennsylvania",842,7.4,2.9,3.7,46.4,18.7,78.1,46.6,12.4,34.6,White_3,39.990821,-75.168428,CANCER,VIRGO,LEO,GEMINI,LIBRA,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LEO,TAURUS
weathni01,Nick Weatherspoon,1950-07-20,"Greenwood, Mississippi",453,9.0,4.9,0.9,45.5,0.0,71.3,45.5,12.8,15.2,White_3,34.21788,-88.51005,CANCER,LIBRA,LEO,GEMINI,LIBRA,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LEO,TAURUS
jonesca01,Caldwell Jones,1950-08-04,"McGehee, Arkansas",1299,7.9,8.2,1.4,47.4,12.3,75.6,47.5,12.1,66.2,White_3,0.0,0.0,LEO,ARIES,VIRGO,CANCER,LIBRA,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,VIRGO,GEMINI
busedo01.,Don Buse,1950-08-10,"Huntgburg, Indiana",966,7.1,2.7,4.6,44.0,33.0,77.9,46.5,13.1,57.1,White_3,0.0,0.0,LEO,CANCER,VIRGO,CANCER,LIBRA,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,VIRGO,GEMINI
mcginge01,George McGinnis,1950-08-12,"Harpersville, Alabama",842,20.2,11.0,3.7,45.8,27.3,66.4,46.1,20.0,74.6,White_3,33.308456,-86.427337,LEO,LEO,VIRGO,CANCER,SCORPIO,PISCES,VIRGO,CANCER,LIBRA,LEO,ARIES,LIBRA,LEO,TAURUS
twardda01,Dave Twardzik,1950-09-20,"Hershey, Pennsylvania",536,9.3,2.4,3.4,52.7,24.5,82.1,52.9,13.8,33.4,Blue_2,40.274422,-76.656872,VIRGO,CAPRICORN,VIRGO,VIRGO,SCORPIO,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,LIBRA,CANCER
cheniph01,Phil Chenier,1950-10-30,"Berkeley, California",578,17.2,3.6,3.0,44.4,40.0,80.6,44.5,15.3,39.3,Blue_2,37.865832,-122.297864,SCORPIO,GEMINI,SCORPIO,SCORPIO,SAGITTARIUS,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,LIBRA,CANCER
calhoco01,Corky Calhoun,1950-11-01,"Waukegan, Illinois",542,5.3,3.6,1.1,46.0,0.0,78.2,46.0,9.3,14.4,Blue_2,42.3657,-87.850166,SCORPIO,CANCER,SCORPIO,SCORPIO,SAGITTARIUS,AQUARIUS,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,SCORPIO,LEO
westppa01,Paul Westphal,1950-11-30,"Torrance, California",823,15.6,1.9,4.4,50.4,27.5,82.0,50.6,19.4,67.7,Blue_2,33.832402,-118.341001,SAGITTARIUS,LEO,SAGITTARIUS,SAGITTARIUS,CAPRICORN,AQUARIUS,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,SCORPIO,LEO
carrml01.,M.L. Carr,1951-01-09,"Wallace, North Carolina",678,10.0,4.5,2.0,47.2,27.5,73.7,47.6,14.0,33.5,Blue_2,34.736412,-77.994554,CAPRICORN,AQUARIUS,CAPRICORN,AQUARIUS,AQUARIUS,PISCES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,CAPRICORN,SCORPIO
behagro01,Ron Behagen,1951-01-14,"New York, New York",388,10.3,7.0,1.6,42.5,0.0,75.4,42.5,14.2,13.0,Blue_2,40.68295,-73.9708,CAPRICORN,ARIES,CAPRICORN,AQUARIUS,AQUARIUS,PISCES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,CAPRICORN,SCORPIO
bailegu01,Gus Bailey,1951-02-18,"Gibson, North Carolina",147,2.6,1.7,1.1,40.6,100.0,51.0,40.8,11.3,0.8,Black_1,34.75954,-79.606899,AQUARIUS,CANCER,AQUARIUS,PISCES,PISCES,PISCES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,AQUARIUS,SAGITTARIUS
basseti01,Tim Bassett,1951-04-01,"Washgton, District of Columbia",473,6.2,6.7,1.2,42.3,28.6,58.8,42.4,10.2,12.9,Black_1,0.0,0.0,ARIES,AQUARIUS,ARIES,TAURUS,ARIES,PISCES,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,TAURUS,AQUARIUS
walkefo01,Foots Walker,1951-05-21,"Southampton, New York",658,6.4,2.6,4.7,43.5,22.7,76.2,43.6,13.7,31.0,Black_1,40.880282,-72.40088,TAURUS,SAGITTARIUS,TAURUS,CANCER,TAURUS,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,CANCER,PISCES
taylobr01,Brian Taylor,1951-06-09,"Perth Amboy, New Jersey",601,13.1,2.7,4.1,49.3,35.6,78.0,51.0,14.8,46.8,Black_1,40.521666,-74.271217,GEMINI,LEO,GEMINI,LEO,GEMINI,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,CANCER,ARIES
collido01,Doug Collins,1951-07-28,"Christopher, Illinois",415,17.9,3.2,3.3,50.1,0.0,83.3,50.1,16.1,38.0,Red_5,37.971612,-89.053201,LEO,GEMINI,VIRGO,VIRGO,CANCER,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,LEO,TAURUS
greenmi01,Mike Green,1951-08-06,"McComb, Mississippi",459,11.5,6.9,1.3,48.0,8.3,73.2,48.0,16.3,27.6,Red_5,0.0,0.0,LEO,VIRGO,VIRGO,VIRGO,CANCER,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,VIRGO,GEMINI
kiffiir01,Irv Kiffin,1951-08-08,"New York, New York",26,3.2,1.5,0.7,33.3,0.0,72.0,33.3,3.7,0.6,Red_5,40.68295,-73.9708,LEO,LIBRA,VIRGO,VIRGO,CANCER,ARIES,VIRGO,CANCER,LIBRA,LEO,PISCES,VIRGO,VIRGO,GEMINI
bristal01,Allan Bristow,1951-08-23,"Richmond, Virginia",695,7.8,4.0,3.2,46.0,28.1,80.1,46.2,14.6,24.6,Red_5,37.519231,-77.473927,LEO,TAURUS,VIRGO,VIRGO,LEO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,VIRGO,GEMINI
catchha01,Harvey Catchings,1951-09-02,"Jackson, Mississippi",725,3.2,5.0,0.8,43.5,0.0,64.7,43.5,9.6,21.2,Red_5,32.30835,-90.229913,VIRGO,VIRGO,VIRGO,VIRGO,LEO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,VIRGO,GEMINI
stacoke01,Kevin Stacom,1951-09-04,"New York, New York",347,5.1,1.5,1.5,41.7,50.0,76.8,41.7,10.6,3.1,Red_5,40.68295,-73.9708,VIRGO,LIBRA,VIRGO,VIRGO,LEO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,VIRGO,GEMINI
coughjo01,John Coughran,1951-09-12,"Pittsburg, California",24,2.8,0.8,0.5,35.8,22.2,57.1,37.0,6.0,0.3,Red_5,38.019366,-121.882974,VIRGO,AQUARIUS,VIRGO,VIRGO,LEO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,LEO,TAURUS
washike01,Kermit Washington,1951-09-17,"Washgton, District of Columbia",507,9.2,8.3,1.4,52.6,0.0,65.6,52.6,16.0,36.0,Red_5,0.0,0.0,VIRGO,ARIES,VIRGO,VIRGO,LEO,ARIES,LIBRA,CANCER,LIBRA,LEO,PISCES,VIRGO,LIBRA,CANCER
